step,Ilim_pos,Ilim_neg,Vsp,command,value,message
1,30,-30,14.4,output_state,1,Turning source ON : charger start
2,30,-30,14.5,float_voltage,14.4,Charging battery to 14.4V (CC mode)
3,30,-30,14.5,end_current,500,Charging battery to 14.4V (CV mode)
4,30,-30,13.8,output_state,0,Turning source off : battery relaxation
5,30,-30,13.8,timeout,100,Relaxing for 100 seconds
6,30,-30,13.8,output_state,1,Turning source on
7,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
8,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
9,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
10,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
11,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
12,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
13,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
14,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
15,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
16,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
17,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
18,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
19,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
20,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
21,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
22,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
23,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
24,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
25,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
26,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
27,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
28,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
29,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
30,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
31,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
32,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
33,30,-30,12,timeout,300,Discharge 300 seconds @ -30A
34,30,-30,13.8,timeout,100,Charge for 100 seconds @ 30A
35,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
36,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
37,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
38,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
39,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
40,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
41,30,-30,13.8,timeout,300,Charge for 300 seconds @ 30A
42,30,-30,12,timeout,100,Discharge 100 seconds @ -30A
43,30,-30,13.8,output_state,0,Turning source off : battery relaxation
44,30,-30,13.8,timeout,100,Relaxing for 100 seconds
